state,beds,beds_covid,beds_noncrit,admitted_pui,admitted_covid,admitted_total,discharged_pui,discharged_covid,discharged_total,hosp_covid,hosp_pui,hosp_noncovid,Cluster
13,1570,248,1537,4,12,16,9,10,19,136,21,698,1
1,1218,165,1183,1,4,5,1,6,7,50,6,584,1
4,1223,262,1205,2,6,8,14,11,25,103,4,515,1
13,1570,248,1537,6,16,22,10,12,22,152,20,675,1
5,1520,180,1473,10,8,18,9,13,22,50,43,644,1
13,1570,278,1537,11,31,42,4,9,13,166,34,661,1
3,1091,95,1065,5,4,9,5,2,7,32,9,569,1
5,1520,180,1473,8,24,32,6,2,8,68,45,605,1
6,2619,321,2551,4,8,12,7,14,21,155,46,1041,1
13,1570,278,1537,6,22,28,1,27,28,162,36,629,1
2,1614,309,1570,10,19,29,17,6,23,103,56,669,1
13,1570,378,1537,6,24,30,5,5,10,222,49,565,1
2,1614,309,1570,8,3,11,20,15,35,95,43,668,1
5,1520,532,1473,16,3,19,13,6,19,62,41,636,2
6,2619,331,2551,8,6,14,8,13,21,161,35,1087,1
10,2390,418,2327,10,5,15,15,5,20,74,36,1134,1
13,1570,438,1537,4,14,18,2,16,18,230,35,927,2
2,1614,309,1570,6,8,14,19,11,30,92,30,672,1
6,2619,322,2551,5,4,9,7,12,19,157,34,1078,1
13,3443,552,3410,13,31,44,5,9,14,238,32,1239,2
5,1669,504,1622,5,13,18,14,8,22,70,41,602,2
6,2619,322,2551,9,3,12,6,17,23,140,37,1075,1
13,3458,544,3425,5,13,18,3,13,16,235,30,888,2
2,1614,309,1570,5,3,8,7,17,24,75,19,678,1
5,1669,504,1622,3,3,6,8,4,12,68,38,594,2
6,2619,326,2551,7,5,12,6,10,16,135,31,1096,1
13,3422,585,3389,11,49,60,2,12,14,289,27,1078,2
4,1223,262,1205,2,3,5,3,4,7,129,5,484,1
6,2619,326,2551,7,1,8,15,19,34,117,22,1119,1
13,3426,598,3393,4,14,18,1,16,17,270,33,1089,2
2,1614,309,1570,1,4,5,4,11,15,62,12,665,1
4,1223,262,1205,1,9,10,1,19,20,116,3,475,1
5,1669,504,1622,6,8,14,4,14,18,92,22,559,2
6,2619,326,2551,14,5,19,4,15,19,107,32,1116,1
12,1232,215,1209,7,9,16,23,7,30,65,46,555,1
13,3426,631,3393,8,16,24,3,13,16,278,30,1039,2
4,1223,262,1205,3,19,22,1,17,18,112,4,493,1
5,1669,504,1622,15,6,21,6,7,13,91,31,547,2
12,1232,260,1209,3,12,15,14,5,19,71,43,608,1
13,3426,646,3393,17,17,34,8,19,27,295,41,1066,2
2,1614,309,1570,9,3,12,3,7,10,46,14,693,1
5,1669,504,1622,8,3,11,2,9,11,87,29,590,2
6,2619,323,2551,6,19,25,5,18,23,98,38,1132,1
12,1232,246,1209,5,8,13,13,7,20,69,33,607,1
13,3426,735,3393,9,12,21,6,5,11,279,46,1090,2
2,1614,309,1570,3,3,6,9,14,23,35,8,724,1
5,1669,504,1622,3,3,6,6,7,13,87,28,640,2
6,2619,323,2551,2,3,5,1,7,8,95,15,747,1
12,1232,247,1209,5,7,12,3,5,8,74,40,617,1
13,3560,665,3527,9,10,19,6,41,47,254,43,1124,2
5,1669,504,1622,4,13,17,4,7,11,90,25,676,2
6,2619,323,2549,2,4,6,3,15,18,84,14,1164,1
10,2390,418,2327,13,16,29,13,4,17,90,59,1087,1
12,1232,247,1209,2,4,6,4,3,7,75,38,604,1
13,3558,725,3525,6,18,24,12,29,41,252,35,1135,2
2,1614,309,1570,4,1,5,3,7,10,27,13,706,1
5,1669,497,1622,2,4,6,2,7,9,87,25,662,2
12,1232,247,1209,8,7,15,10,3,13,79,36,600,1
13,3558,725,3525,4,9,13,2,22,24,239,29,1131,2
4,1223,430,1205,1,20,21,2,5,7,103,3,487,1
5,1669,497,1622,15,29,44,7,7,14,109,33,590,2
13,3558,725,3525,7,15,22,3,22,25,231,19,1077,2
5,1669,497,1622,3,9,12,8,2,10,116,28,588,2
6,2619,323,2549,1,4,5,1,7,8,61,8,1144,1
12,1232,247,1209,1,8,9,4,4,8,83,25,581,1
13,3558,725,3525,3,6,9,4,42,46,229,25,1120,2
5,1669,497,1622,3,10,13,2,6,8,118,37,620,2
13,3558,725,3525,4,5,9,4,31,35,198,13,1140,2
13,3558,755,3525,6,11,17,2,27,29,187,20,1130,2
5,1669,497,1622,3,26,29,2,9,11,128,24,649,2
6,2619,323,2549,3,3,6,2,8,10,32,6,1265,1
13,3558,755,3525,9,6,15,3,7,10,176,21,1195,2
5,1669,497,1622,12,1,13,10,17,27,111,26,653,2
12,1232,247,1209,5,2,7,5,7,12,73,23,612,1
13,3558,755,3525,3,11,14,3,6,9,183,19,1175,2
9,2554,601,2488,9,7,16,16,6,22,72,58,965,2
13,3558,755,3525,3,3,6,4,4,8,182,16,1112,2
5,1669,497,1622,11,5,16,4,7,11,100,30,645,2
9,2554,601,2478,5,13,18,12,4,16,99,59,1050,2
5,1669,497,1622,10,2,12,4,14,18,88,36,658,2
9,2554,601,2478,10,5,15,7,5,12,91,56,1097,2
5,1669,513,1616,6,9,15,11,7,18,90,31,664,2
13,3558,755,3525,3,8,11,3,10,13,154,15,1219,2
13,3558,755,3525,7,12,19,3,19,22,145,15,1309,2
9,2554,601,2478,12,1,13,3,6,9,83,57,1153,2
13,3558,755,3525,6,23,29,2,26,28,139,17,1280,2
9,2554,601,2478,18,2,20,18,2,20,83,52,1171,2
9,2554,601,2478,13,5,18,7,4,11,84,58,1125,2
9,2554,601,2478,5,1,6,10,3,13,82,53,1113,2
13,3558,755,3525,3,2,5,4,7,11,130,15,1043,2
13,3558,755,3525,7,2,9,5,8,13,122,15,1140,2
